actions/0/name,adm/0,adm/1,adm/2,date,schools_closed,source,sourceFull/_id,sourceFull/url,traveller_quarantine,actions/1/_id,actions/1/name,actions/2/_id,actions/2/name,border_control,actions/3/_id,actions/3/name,actions/4/_id,actions/4/name,closure_leisureandbars,lockdown,home_office,primary_residence,test_limitations,actions/5/_id,actions/5/name,actions/6/_id,actions/6/name
border_control,BD,,,2020-03-16T00:00:00Z,,"https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html, https://www.hrw.org/news/2020/03/20/bangladesh-should-address-vulnerability-coronavirus",5e7671b10b86158bd45e98b3,"https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html, https://www.hrw.org/news/2020/03/20/bangladesh-should-address-vulnerability-coronavirus",,5e765a2a0676182fef881d96,test_limitations,,,TRUE,,,,,,,,,TRUE,,,,
border_control,BD,,,2020-03-17T00:00:00Z,TRUE,https://www.aljazeera.com/news/2020/03/coronavirus-dense-bangladesh-social-distancing-tough-task-200320103733470.html,5e7671b20b86158bd45e98ba,https://www.aljazeera.com/news/2020/03/coronavirus-dense-bangladesh-social-distancing-tough-task-200320103733470.html,,5e764db948154944524ea038,schools_closed,5e765a2a0676182fef881d96,test_limitations,TRUE,,,,,,,,,TRUE,,,,
,PE,,,2020-03-18T00:00:00Z,,https://belarusfeed.com/belarus-extends-stay-foreigners-coronavirus/,5e765b8f0676182fef8823b5,https://belarusfeed.com/belarus-extends-stay-foreigners-coronavirus/,,,,,,,,,,,,,,,,,,,
schools_closed,BE,,,2020-03-16T00:00:00Z,TRUE,https://www.dhnet.be/actu/belgique/fermeture-des-ecoles-a-cause-du-coronavirus-la-ministre-desir-donne-des-precisions-5e6baf919978e201d8b55769,5e765a7e0676182fef881f0e,https://www.dhnet.be/actu/belgique/fermeture-des-ecoles-a-cause-du-coronavirus-la-ministre-desir-donne-des-precisions-5e6baf919978e201d8b55769,,,,,,,,,,,,,,,,,,,
lockdown,BE,,,2020-03-18T00:00:00Z,TRUE,https://www.theguardian.com/world/gallery/2020/mar/18/belgium-enters-lockdown-over-coronavirus-crisis-in-pictures,5e765a810676182fef881f1b,https://www.theguardian.com/world/gallery/2020/mar/18/belgium-enters-lockdown-over-coronavirus-crisis-in-pictures,,5e764db948154944524ea038,schools_closed,,,,,,,,,TRUE,,,,,,,
border_control,BE,,,2020-03-20T00:00:00Z,TRUE,https://www.politico.eu/article/belgium-closes-borders-for-non-essential-travel/,5e765a830676182fef881f28,https://www.politico.eu/article/belgium-closes-borders-for-non-essential-travel/,,5e765a280676182fef881d8c,lockdown,5e764db948154944524ea038,schools_closed,TRUE,,,,,,TRUE,,,,,,,
border_control,BO,,,2020-03-16T00:00:00Z,TRUE,https://www.lostiempos.com/actualidad/pais/20200316/anez-lanza-horario-continuo-mas-prohibiciones-frenar-covid-19,5e7671b70b86158bd45e98d4,https://www.lostiempos.com/actualidad/pais/20200316/anez-lanza-horario-continuo-mas-prohibiciones-frenar-covid-19,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,TRUE,,,,,,
border_control,BO,,,2020-03-18T00:00:00Z,TRUE,https://www.lostiempos.com/actualidad/pais/20200317/bolivia-cierra-fronteras-suspende-vuelos-limita-transporte-terrestre,5e7671b90b86158bd45e98de,https://www.lostiempos.com/actualidad/pais/20200317/bolivia-cierra-fronteras-suspende-vuelos-limita-transporte-terrestre,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,TRUE,,,,,,
border_control,BO,,,2020-03-19T00:00:00Z,TRUE,https://www.lostiempos.com/actualidad/pais/20200317/bolivia-cierra-fronteras-suspende-vuelos-limita-transporte-terrestre,5e7671b90b86158bd45e98de,https://www.lostiempos.com/actualidad/pais/20200317/bolivia-cierra-fronteras-suspende-vuelos-limita-transporte-terrestre,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,TRUE,TRUE,,5e765a290676182fef881d93,primary_residence,,
border_control,BR,,,2020-03-21T00:00:00Z,TRUE,https://agenciabrasil.ebc.com.br/saude/noticia/2020-03/covid-19-sao-paulo-anuncia-estado-de-calamidade-publica,5e7671bd0b86158bd45e98f1,https://agenciabrasil.ebc.com.br/saude/noticia/2020-03/covid-19-sao-paulo-anuncia-estado-de-calamidade-publica,,5e765a270676182fef881d89,closure_leisureandbars,5e765a280676182fef881d8c,lockdown,TRUE,5e764db948154944524ea038,schools_closed,,,TRUE,TRUE,,,,,,,
schools_closed,BG,,,2020-03-16T00:00:00Z,TRUE,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,5e7671bf0b86158bd45e98fa,https://en.unesco.org/themes/education-emergencies/coronavirus-school-closures,,,,,,,,,,,,,,,,,,,
border_control,BG,,,2020-03-17T00:00:00Z,TRUE,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,5e765a6f0676182fef881ecf,https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,,,,,,,,,,,,
border_control,CA,,,2020-03-16T00:00:00Z,TRUE,"https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html, https://www.ctvnews.ca/health/coronavirus/covid-19-in-canada-what-s-closed-due-to-coronavirus-concerns-1.4854499",5e7671c20b86158bd45e9906,"https://www.aljazeera.com/news/2020/03/coronavirus-travel-restrictions-border-shutdowns-country-200318091505922.html, https://www.ctvnews.ca/health/coronavirus/covid-19-in-canada-what-s-closed-due-to-coronavirus-concerns-1.4854499",,5e765a270676182fef881d89,closure_leisureandbars,5e764db948154944524ea038,schools_closed,TRUE,,,,,TRUE,,,,,,,,
border_control,CL,,,2020-03-13T00:00:00Z,,https://www.gob.cl/coronavirus/noticias/,5e7671c30b86158bd45e990e,https://www.gob.cl/coronavirus/noticias/,,,,,,TRUE,,,,,,,,,,,,,
border_control,CL,,,2020-03-14T00:00:00Z,,https://www.gob.cl/coronavirus/noticias/,5e7671c30b86158bd45e990e,https://www.gob.cl/coronavirus/noticias/,,5e765a280676182fef881d8c,lockdown,,,TRUE,,,,,,TRUE,,,,,,,
border_control,CL,,,2020-03-15T00:00:00Z,,https://www.gob.cl/coronavirus/noticias/,5e7671c30b86158bd45e990e,https://www.gob.cl/coronavirus/noticias/,,,,,,TRUE,,,,,,,,,,,,,
border_control,CL,,,2020-03-16T00:00:00Z,TRUE,https://www.gob.cl/coronavirus/noticias/,5e7671c30b86158bd45e990e,https://www.gob.cl/coronavirus/noticias/,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,,,,,,,,,,,,
border_control,CL,,,2020-03-19T00:00:00Z,TRUE,https://www.minsal.cl/gobierno-decreta-cuarentena-preventiva-en-isla-de-pascua/,5e7671c70b86158bd45e9923,https://www.minsal.cl/gobierno-decreta-cuarentena-preventiva-en-isla-de-pascua/,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,,,,,,,,,,,,
border_control,CL,,,2020-03-21T00:00:00Z,TRUE,https://www.gob.cl/noticias/ministerio-de-salud-informa-92-nuevos-casos-confirmados-de-covid-19-en-chile-entre-ayer-y-hoy/,5e7671c80b86158bd45e992b,https://www.gob.cl/noticias/ministerio-de-salud-informa-92-nuevos-casos-confirmados-de-covid-19-en-chile-entre-ayer-y-hoy/,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e764db948154944524ea038,schools_closed,5e765a290676182fef881d90,traveller_quarantine,TRUE,,TRUE,,,,,,
,CN,42,1,2019-12-31T00:00:00Z,,http://www.bjd.com.cn/a/201912/31/WS5e0af2a6e4b0e6e5839368d8.html,5e765a260676182fef881d82,http://www.bjd.com.cn/a/201912/31/WS5e0af2a6e4b0e6e5839368d8.html,,,,,,,,,,,,,,,,,,,
,CN,42,1,2019-01-17T00:00:00Z,,http://finance.sina.com.cn/wm/2020-01-19/doc-iihnzhha3543848.shtml,5e765a2a0676182fef881d9b,http://finance.sina.com.cn/wm/2020-01-19/doc-iihnzhha3543848.shtml,,,,,,,,,,,,,,,,,,,
test_limitations,CN,42,1,2020-01-21T00:00:00Z,,http://finance.ifeng.com/c/7tQKSRuIruY,5e765a2d0676182fef881da8,http://finance.ifeng.com/c/7tQKSRuIruY,,,,,,,,,,,,,,,TRUE,,,,
,CN,,,2019-01-22T00:00:00Z,,https://www.bbc.com/zhongwen/simp/chinese-news-51216354,5e7671cc0b86158bd45e993f,https://www.bbc.com/zhongwen/simp/chinese-news-51216354,,,,,,,,,,,,,,,,,,,
border_control,CN,42,1,2020-01-23T00:00:00Z,TRUE,http://news.sina.com.cn/o/2020-01-23/doc-iihnzhha4375061.shtml,5e765a300676182fef881db5,http://news.sina.com.cn/o/2020-01-23/doc-iihnzhha4375061.shtml,TRUE,5e765a270676182fef881d86,home_office,5e765a270676182fef881d89,closure_leisureandbars,TRUE,5e765a280676182fef881d8c,lockdown,5e764db948154944524ea038,schools_closed,TRUE,TRUE,TRUE,TRUE,,5e765a290676182fef881d90,traveller_quarantine,5e765a290676182fef881d93,primary_residence
,CN,42,1,2020-02-04T00:00:00Z,,http://news.youth.cn/jsxw/202002/t20200204_12184645.htm,5e765a330676182fef881dc2,http://news.youth.cn/jsxw/202002/t20200204_12184645.htm,,,,,,,,,,,,,,,,,,,
,CN,42,1,2020-02-16T00:00:00Z,,http://news.sina.com.cn/c/2020-02-19/doc-iimxxstf2687055.shtml,5e765a360676182fef881dcf,http://news.sina.com.cn/c/2020-02-19/doc-iimxxstf2687055.shtml,,,,,,,,,,,,,,,,,,,
,CN,42,1,2020-02-17T00:00:00Z,,http://news.cjn.cn/wsqzgzb/zxwz/qwfb/202002/t3568320.htm,5e765a390676182fef881ddc,http://news.cjn.cn/wsqzgzb/zxwz/qwfb/202002/t3568320.htm,,,,,,,,,,,,,,,,,,,
border_control,CO,,,2020-03-12T00:00:00Z,,https://twitter.com/MinSaludCol/status/1237733802295820288,5e765b7b0676182fef88235a,https://twitter.com/MinSaludCol/status/1237733802295820288,TRUE,5e765a270676182fef881d89,closure_leisureandbars,5e765a290676182fef881d90,traveller_quarantine,TRUE,,,,,TRUE,,,,,,,,
border_control,CO,,,2020-03-15T00:00:00Z,TRUE,https://www.eltiempo.com/politica/gobierno/coronavirus-en-colombia-duque-ordena-cerrar-todas-las-fronteras-terrestres-y-maritimas-473628,5e765b7e0676182fef882367,https://www.eltiempo.com/politica/gobierno/coronavirus-en-colombia-duque-ordena-cerrar-todas-las-fronteras-terrestres-y-maritimas-473628,TRUE,5e765a270676182fef881d89,closure_leisureandbars,5e764db948154944524ea038,schools_closed,TRUE,5e765a290676182fef881d90,traveller_quarantine,,,TRUE,,,,,,,,
